Program for reverse faulting, modified from general4.f and layer5rev_distrib.f (https://github.com/aochihi/DepthStress)
Reference: Aochi (2018), Aochi & Tsuda (2023)
UPDATE 2024/03/12 by Mike (H. SU)
++++++++++++++++++++++++++++++++++++++++++++
INPUT parameters
static friction coef.  [mu_s]:   0.60
dynamic friction coef.  [mu_d]:   0.33
optimal fault orientation [phi]:  29.52
dip angle [dip]:  58.00
cohesion [cohesion]:   5.00
fault relative prestress [R_assume]:   1.00
++++++++++++++++++++++++++++++++++++++++++++
Depth[km] S1[MPa]   S3[MPa]   t0[MPa]   tp[MPa]   tr[MPa]   n0[MPa]   S         G              strain_c       strain         
5.310     438.273   134.836   136.364   216.838   116.511   353.064   4.054     3.187e+10      4.760e-09      4.760e-09      
5.320     439.090   135.098   136.613   217.235   116.729   353.724   4.055     3.187e+10      4.769e-09      4.769e-09      
5.330     439.906   135.359   136.862   217.631   116.947   354.385   4.056     3.187e+10      4.778e-09      4.778e-09      
5.340     440.722   135.621   137.111   218.027   117.165   355.045   4.057     3.187e+10      4.786e-09      4.786e-09      
5.350     441.538   135.883   137.361   218.423   117.383   355.706   4.058     3.187e+10      4.795e-09      4.795e-09      
5.360     442.354   136.144   137.610   218.820   117.601   356.366   4.059     3.187e+10      4.804e-09      4.804e-09      
5.370     443.170   136.406   137.859   219.216   117.819   357.026   4.060     3.187e+10      4.812e-09      4.812e-09      
5.380     443.986   136.668   138.108   219.612   118.037   357.687   4.061     3.187e+10      4.821e-09      4.821e-09      
5.390     444.803   136.929   138.357   220.008   118.255   358.347   4.062     3.187e+10      4.830e-09      4.830e-09      
5.400     445.619   137.191   138.607   220.405   118.473   359.008   4.063     3.187e+10      4.838e-09      4.838e-09      
5.410     446.435   137.452   138.856   220.801   118.690   359.668   4.064     3.187e+10      4.847e-09      4.847e-09      
5.420     447.251   137.714   139.105   221.197   118.908   360.329   4.065     3.187e+10      4.856e-09      4.856e-09      
5.430     448.067   137.976   139.354   221.593   119.126   360.989   4.066     3.187e+10      4.864e-09      4.864e-09      
5.440     448.883   138.237   139.603   221.990   119.344   361.649   4.067     3.187e+10      4.873e-09      4.873e-09      
5.450     449.699   138.499   139.853   222.386   119.562   362.310   4.068     3.187e+10      4.882e-09      4.882e-09      
5.460     450.516   138.761   140.102   222.782   119.780   362.970   4.069     3.187e+10      4.891e-09      4.891e-09      
5.470     451.332   139.022   140.351   223.178   119.998   363.631   4.070     3.187e+10      4.899e-09      4.899e-09      
5.480     452.148   139.284   140.600   223.575   120.216   364.291   4.071     3.187e+10      4.908e-09      4.908e-09      
5.490     452.964   139.545   140.849   223.971   120.434   364.952   4.072     3.187e+10      4.917e-09      4.917e-09      
5.500     453.780   139.807   141.099   224.367   120.652   365.612   4.072     3.187e+10      4.925e-09      4.925e-09      
5.510     454.596   140.069   141.348   224.763   120.870   366.272   4.073     3.187e+10      4.934e-09      4.934e-09      
5.520     455.412   140.330   141.597   225.160   121.088   366.933   4.074     3.187e+10      4.943e-09      4.943e-09      
5.530     456.229   140.592   141.846   225.556   121.306   367.593   4.075     3.187e+10      4.951e-09      4.951e-09      
5.540     457.045   140.854   142.095   225.952   121.524   368.254   4.076     3.187e+10      4.960e-09      4.960e-09      
5.550     457.861   141.115   142.345   226.349   121.742   368.914   4.077     3.187e+10      4.969e-09      4.969e-09      
5.560     458.677   141.377   142.594   226.745   121.960   369.575   4.078     3.187e+10      4.978e-09      4.978e-09      
5.570     459.493   141.639   142.843   227.141   122.178   370.235   4.079     3.187e+10      4.986e-09      4.986e-09      
5.580     460.309   141.900   143.092   227.537   122.396   370.895   4.080     3.187e+10      4.995e-09      4.995e-09      
5.590     461.126   142.162   143.341   227.934   122.613   371.556   4.081     3.187e+10      5.004e-09      5.004e-09      
5.600     461.942   142.423   143.591   228.330   122.831   372.216   4.082     3.187e+10      5.012e-09      5.012e-09      
5.610     462.758   142.685   143.840   228.726   123.049   372.877   4.083     3.187e+10      5.021e-09      5.021e-09      
5.620     463.574   142.947   144.089   229.122   123.267   373.537   4.084     3.187e+10      5.030e-09      5.030e-09      
5.630     464.390   143.208   144.338   229.519   123.485   374.198   4.085     3.187e+10      5.038e-09      5.038e-09      
5.640     465.206   143.470   144.587   229.915   123.703   374.858   4.086     3.187e+10      5.047e-09      5.047e-09      
5.650     466.022   143.732   144.837   230.311   123.921   375.518   4.087     3.187e+10      5.056e-09      5.056e-09      
5.660     466.839   143.993   145.086   230.707   124.139   376.179   4.088     3.187e+10      5.065e-09      5.065e-09      
5.670     467.655   144.255   145.335   231.104   124.357   376.839   4.089     3.187e+10      5.073e-09      5.073e-09      
5.680     468.471   144.517   145.584   231.500   124.575   377.500   4.089     3.187e+10      5.082e-09      5.082e-09      
5.690     469.287   144.778   145.833   231.896   124.793   378.160   4.090     3.187e+10      5.091e-09      5.091e-09      
5.700     470.103   145.040   146.082   232.292   125.011   378.821   4.091     3.187e+10      5.099e-09      5.099e-09      
5.710     470.919   145.301   146.332   232.689   125.229   379.481   4.092     3.187e+10      5.108e-09      5.108e-09      
5.720     471.735   145.563   146.581   233.085   125.447   380.141   4.093     3.187e+10      5.117e-09      5.117e-09      
5.730     472.552   145.825   146.830   233.481   125.665   380.802   4.094     3.187e+10      5.125e-09      5.125e-09      
5.740     473.368   146.086   147.079   233.877   125.883   381.462   4.095     3.187e+10      5.134e-09      5.134e-09      
5.750     474.184   146.348   147.328   234.274   126.101   382.123   4.096     3.187e+10      5.143e-09      5.143e-09      
5.760     475.000   146.610   147.578   234.670   126.318   382.783   4.097     3.187e+10      5.152e-09      5.152e-09      
5.770     475.816   146.871   147.827   235.066   126.536   383.444   4.098     3.187e+10      5.160e-09      5.160e-09      
5.780     476.632   147.133   148.076   235.462   126.754   384.104   4.098     3.187e+10      5.169e-09      5.169e-09      
5.790     477.448   147.394   148.325   235.859   126.972   384.764   4.099     3.187e+10      5.178e-09      5.178e-09      
5.800     478.265   147.656   148.574   236.255   127.190   385.425   4.100     3.187e+10      5.186e-09      5.186e-09      
5.810     479.081   147.918   148.824   236.651   127.408   386.085   4.101     3.187e+10      5.195e-09      5.195e-09      
5.820     479.897   148.179   149.073   237.047   127.626   386.746   4.102     3.187e+10      5.204e-09      5.204e-09      
5.830     480.713   148.441   149.322   237.444   127.844   387.406   4.103     3.187e+10      5.212e-09      5.212e-09      
5.840     481.529   148.703   149.571   237.840   128.062   388.067   4.104     3.187e+10      5.221e-09      5.221e-09      
5.850     482.345   148.964   149.820   238.236   128.280   388.727   4.105     3.187e+10      5.230e-09      5.230e-09      
5.860     483.161   149.226   150.070   238.632   128.498   389.387   4.106     3.187e+10      5.239e-09      5.239e-09      
5.870     483.978   149.488   150.319   239.029   128.716   390.048   4.106     3.187e+10      5.247e-09      5.247e-09      
5.880     484.794   149.749   150.568   239.425   128.934   390.708   4.107     3.187e+10      5.256e-09      5.256e-09      
5.890     485.610   150.011   150.817   239.821   129.152   391.369   4.108     3.187e+10      5.265e-09      5.265e-09      
5.900     486.426   150.272   151.066   240.218   129.370   392.029   4.109     3.187e+10      5.273e-09      5.273e-09      
5.910     487.242   150.534   151.316   240.614   129.588   392.690   4.110     3.187e+10      5.282e-09      5.282e-09      
5.920     488.058   150.796   151.565   241.010   129.806   393.350   4.111     3.187e+10      5.291e-09      5.291e-09      
5.930     488.874   151.057   151.814   241.406   130.023   394.011   4.112     3.187e+10      5.299e-09      5.299e-09      
5.940     489.691   151.319   152.063   241.803   130.241   394.671   4.112     3.187e+10      5.308e-09      5.308e-09      
5.950     490.507   151.581   152.312   242.199   130.459   395.331   4.113     3.187e+10      5.317e-09      5.317e-09      
5.960     491.323   151.842   152.562   242.595   130.677   395.992   4.114     3.187e+10      5.326e-09      5.326e-09      
