Program for reverse faulting, modified from general4.f and layer5rev_distrib.f (https://github.com/aochihi/DepthStress)
Reference: Aochi (2018), Aochi & Tsuda (2023)
UPDATE 2024/03/12 by Mike (H. SU)
++++++++++++++++++++++++++++++++++++++++++++
INPUT parameters
static friction coef.  [mu_s]:   0.60
dynamic friction coef.  [mu_d]:   0.33
optimal fault orientation [phi]:  29.52
dip angle [dip]:  50.00
cohesion [cohesion]:   5.00
fault relative prestress [R_assume]:   1.00
++++++++++++++++++++++++++++++++++++++++++++
Depth[km] S1[MPa]   S3[MPa]   t0[MPa]   tp[MPa]   tr[MPa]   n0[MPa]   S         G              strain_c       strain         
2.120     105.633   51.511    26.650    54.963    27.479    83.271    -34.142   1.323e+10      2.046e-09      4.795e-09      
2.130     105.875   51.753    26.650    55.108    27.559    83.513    -31.299   1.323e+10      2.046e-09      4.814e-09      
2.140     106.118   51.995    26.650    55.253    27.639    83.756    -28.916   1.323e+10      2.046e-09      4.834e-09      
2.150     106.360   52.237    26.650    55.399    27.719    83.998    -26.889   1.323e+10      2.046e-09      4.853e-09      
2.160     106.602   52.480    26.650    55.544    27.799    84.240    -25.145   1.323e+10      2.046e-09      4.873e-09      
2.170     106.845   52.722    26.650    55.690    27.879    84.483    -23.627   1.323e+10      2.046e-09      4.892e-09      
2.180     107.087   52.964    26.650    55.835    27.959    84.725    -22.295   1.323e+10      2.046e-09      4.911e-09      
2.190     183.636   53.207    64.224    82.848    42.816    129.746   0.870     3.187e+10      2.046e-09      2.046e-09      
2.200     184.453   53.468    64.497    83.200    43.010    130.333   0.870     3.187e+10      2.055e-09      2.055e-09      
2.210     185.269   53.730    64.770    83.552    43.204    130.920   0.871     3.187e+10      2.063e-09      2.063e-09      
2.220     186.085   53.992    65.043    83.904    43.397    131.507   0.871     3.187e+10      2.072e-09      2.072e-09      
2.230     186.901   54.253    65.316    84.256    43.591    132.094   0.872     3.187e+10      2.081e-09      2.081e-09      
2.240     187.717   54.515    65.589    84.609    43.785    132.681   0.872     3.187e+10      2.090e-09      2.090e-09      
2.250     188.533   54.776    65.862    84.961    43.978    133.268   0.873     3.187e+10      2.098e-09      2.098e-09      
2.260     189.349   55.038    66.135    85.313    44.172    133.855   0.873     3.187e+10      2.107e-09      2.107e-09      
2.270     190.166   55.300    66.408    85.665    44.366    134.442   0.874     3.187e+10      2.116e-09      2.116e-09      
2.280     190.982   55.561    66.681    86.018    44.560    135.029   0.874     3.187e+10      2.124e-09      2.124e-09      
2.290     191.798   55.823    66.955    86.370    44.753    135.616   0.875     3.187e+10      2.133e-09      2.133e-09      
2.300     192.614   56.085    67.228    86.722    44.947    136.203   0.875     3.187e+10      2.142e-09      2.142e-09      
2.310     193.430   56.346    67.501    87.074    45.141    136.790   0.875     3.187e+10      2.150e-09      2.150e-09      
2.320     194.246   56.608    67.774    87.426    45.335    137.377   0.876     3.187e+10      2.159e-09      2.159e-09      
2.330     195.062   56.870    68.047    87.779    45.528    137.964   0.876     3.187e+10      2.168e-09      2.168e-09      
2.340     195.879   57.131    68.320    88.131    45.722    138.551   0.877     3.187e+10      2.177e-09      2.177e-09      
2.350     196.695   57.393    68.593    88.483    45.916    139.139   0.877     3.187e+10      2.185e-09      2.185e-09      
2.360     197.511   57.654    68.866    88.835    46.109    139.726   0.878     3.187e+10      2.194e-09      2.194e-09      
2.370     198.327   57.916    69.139    89.188    46.303    140.313   0.878     3.187e+10      2.203e-09      2.203e-09      
2.380     199.143   58.178    69.412    89.540    46.497    140.900   0.878     3.187e+10      2.211e-09      2.211e-09      
2.390     199.959   58.439    69.685    89.892    46.691    141.487   0.879     3.187e+10      2.220e-09      2.220e-09      
2.400     200.775   58.701    69.958    90.244    46.884    142.074   0.879     3.187e+10      2.229e-09      2.229e-09      
2.410     201.592   58.963    70.231    90.596    47.078    142.661   0.880     3.187e+10      2.237e-09      2.237e-09      
2.420     202.408   59.224    70.504    90.949    47.272    143.248   0.880     3.187e+10      2.246e-09      2.246e-09      
2.430     203.224   59.486    70.777    91.301    47.465    143.835   0.880     3.187e+10      2.255e-09      2.255e-09      
2.440     204.040   59.748    71.050    91.653    47.659    144.422   0.881     3.187e+10      2.264e-09      2.264e-09      
2.450     204.856   60.009    71.323    92.005    47.853    145.009   0.881     3.187e+10      2.272e-09      2.272e-09      
2.460     205.672   60.271    71.596    92.358    48.047    145.596   0.882     3.187e+10      2.281e-09      2.281e-09      
2.470     206.488   60.532    71.869    92.710    48.240    146.183   0.882     3.187e+10      2.290e-09      2.290e-09      
2.480     207.305   60.794    72.142    93.062    48.434    146.770   0.882     3.187e+10      2.298e-09      2.298e-09      
2.490     208.121   61.056    72.415    93.414    48.628    147.357   0.883     3.187e+10      2.307e-09      2.307e-09      
2.500     208.937   61.317    72.688    93.766    48.822    147.944   0.883     3.187e+10      2.316e-09      2.316e-09      
2.510     209.753   61.579    72.961    94.119    49.015    148.531   0.884     3.187e+10      2.324e-09      2.324e-09      
2.520     210.569   61.841    73.235    94.471    49.209    149.118   0.884     3.187e+10      2.333e-09      2.333e-09      
2.530     211.385   62.102    73.508    94.823    49.403    149.705   0.884     3.187e+10      2.342e-09      2.342e-09      
2.540     212.201   62.364    73.781    95.175    49.596    150.292   0.885     3.187e+10      2.351e-09      2.351e-09      
2.550     213.018   62.625    74.054    95.528    49.790    150.879   0.885     3.187e+10      2.359e-09      2.359e-09      
2.560     213.834   62.887    74.327    95.880    49.984    151.466   0.885     3.187e+10      2.368e-09      2.368e-09      
2.570     214.650   63.149    74.600    96.232    50.178    152.053   0.886     3.187e+10      2.377e-09      2.377e-09      
2.580     215.466   63.410    74.873    96.584    50.371    152.640   0.886     3.187e+10      2.385e-09      2.385e-09      
2.590     216.282   63.672    75.146    96.936    50.565    153.227   0.886     3.187e+10      2.394e-09      2.394e-09      
2.600     217.098   63.934    75.419    97.289    50.759    153.814   0.887     3.187e+10      2.403e-09      2.403e-09      
2.610     217.914   64.195    75.692    97.641    50.952    154.401   0.887     3.187e+10      2.411e-09      2.411e-09      
2.620     218.731   64.457    75.965    97.993    51.146    154.988   0.888     3.187e+10      2.420e-09      2.420e-09      
2.630     219.547   64.719    76.238    98.345    51.340    155.575   0.888     3.187e+10      2.429e-09      2.429e-09      
2.640     220.363   64.980    76.511    98.697    51.534    156.162   0.888     3.187e+10      2.438e-09      2.438e-09      
2.650     221.179   65.242    76.784    99.050    51.727    156.750   0.889     3.187e+10      2.446e-09      2.446e-09      
2.660     221.995   65.503    77.057    99.402    51.921    157.337   0.889     3.187e+10      2.455e-09      2.455e-09      
2.670     222.811   65.765    77.330    99.754    52.115    157.924   0.889     3.187e+10      2.464e-09      2.464e-09      
2.680     223.627   66.027    77.603    100.106   52.309    158.511   0.890     3.187e+10      2.472e-09      2.472e-09      
2.690     224.444   66.288    77.876    100.459   52.502    159.098   0.890     3.187e+10      2.481e-09      2.481e-09      
2.700     225.260   66.550    78.149    100.811   52.696    159.685   0.890     3.187e+10      2.490e-09      2.490e-09      
2.710     226.076   66.812    78.422    101.163   52.890    160.272   0.891     3.187e+10      2.498e-09      2.498e-09      
2.720     226.892   67.073    78.695    101.515   53.083    160.859   0.891     3.187e+10      2.507e-09      2.507e-09      
2.730     227.708   67.335    78.968    101.867   53.277    161.446   0.891     3.187e+10      2.516e-09      2.516e-09      
2.740     228.524   67.596    79.241    102.220   53.471    162.033   0.892     3.187e+10      2.525e-09      2.525e-09      
2.750     229.340   67.858    79.515    102.572   53.665    162.620   0.892     3.187e+10      2.533e-09      2.533e-09      
2.760     230.157   68.120    79.788    102.924   53.858    163.207   0.892     3.187e+10      2.542e-09      2.542e-09      
2.770     230.973   68.381    80.061    103.276   54.052    163.794   0.893     3.187e+10      2.551e-09      2.551e-09      
2.780     231.789   68.643    80.334    103.629   54.246    164.381   0.893     3.187e+10      2.559e-09      2.559e-09      
2.790     232.605   68.905    80.607    103.981   54.439    164.968   0.893     3.187e+10      2.568e-09      2.568e-09      
2.800     233.421   69.166    80.880    104.333   54.633    165.555   0.894     3.187e+10      2.577e-09      2.577e-09      
2.810     234.237   69.428    81.153    104.685   54.827    166.142   0.894     3.187e+10      2.585e-09      2.585e-09      
2.820     235.053   69.690    81.426    105.037   55.021    166.729   0.894     3.187e+10      2.594e-09      2.594e-09      
2.830     235.870   69.951    81.699    105.390   55.214    167.316   0.895     3.187e+10      2.603e-09      2.603e-09      
2.840     236.686   70.213    81.972    105.742   55.408    167.903   0.895     3.187e+10      2.612e-09      2.612e-09      
2.850     237.502   70.474    82.245    106.094   55.602    168.490   0.895     3.187e+10      2.620e-09      2.620e-09      
2.860     238.318   70.736    82.518    106.446   55.795    169.077   0.895     3.187e+10      2.629e-09      2.629e-09      
2.870     239.134   70.998    82.791    106.799   55.989    169.664   0.896     3.187e+10      2.638e-09      2.638e-09      
2.880     239.950   71.259    83.064    107.151   56.183    170.251   0.896     3.187e+10      2.646e-09      2.646e-09      
2.890     240.766   71.521    83.337    107.503   56.377    170.838   0.896     3.187e+10      2.655e-09      2.655e-09      
2.900     241.583   71.783    83.610    107.855   56.570    171.425   0.897     3.187e+10      2.664e-09      2.664e-09      
2.910     242.399   72.044    83.883    108.207   56.764    172.012   0.897     3.187e+10      2.672e-09      2.672e-09      
2.920     243.215   72.306    84.156    108.560   56.958    172.599   0.897     3.187e+10      2.681e-09      2.681e-09      
2.930     244.031   72.568    84.429    108.912   57.152    173.186   0.898     3.187e+10      2.690e-09      2.690e-09      
2.940     244.847   72.829    84.702    109.264   57.345    173.773   0.898     3.187e+10      2.698e-09      2.698e-09      
2.950     245.663   73.091    84.975    109.616   57.539    174.361   0.898     3.187e+10      2.707e-09      2.707e-09      
2.960     246.480   73.352    85.248    109.969   57.733    174.948   0.898     3.187e+10      2.716e-09      2.716e-09      
2.970     247.296   73.614    85.521    110.321   57.926    175.535   0.899     3.187e+10      2.725e-09      2.725e-09      
2.980     248.112   73.876    85.795    110.673   58.120    176.122   0.899     3.187e+10      2.733e-09      2.733e-09      
2.990     248.928   74.137    86.068    111.025   58.314    176.709   0.899     3.187e+10      2.742e-09      2.742e-09      
3.000     249.744   74.399    86.341    111.377   58.508    177.296   0.900     3.187e+10      2.751e-09      2.751e-09      
3.010     250.560   74.661    86.614    111.730   58.701    177.883   0.900     3.187e+10      2.759e-09      2.759e-09      
3.020     251.376   74.922    86.887    112.082   58.895    178.470   0.900     3.187e+10      2.768e-09      2.768e-09      
3.030     252.193   75.184    87.160    112.434   59.089    179.057   0.900     3.187e+10      2.777e-09      2.777e-09      
3.040     253.009   75.445    87.433    112.786   59.282    179.644   0.901     3.187e+10      2.785e-09      2.785e-09      
3.050     253.825   75.707    87.706    113.139   59.476    180.231   0.901     3.187e+10      2.794e-09      2.794e-09      
3.060     254.641   75.969    87.979    113.491   59.670    180.818   0.901     3.187e+10      2.803e-09      2.803e-09      
3.070     255.457   76.230    88.252    113.843   59.864    181.405   0.901     3.187e+10      2.812e-09      2.812e-09      
3.080     256.273   76.492    88.525    114.195   60.057    181.992   0.902     3.187e+10      2.820e-09      2.820e-09      
3.090     257.089   76.754    88.798    114.547   60.251    182.579   0.902     3.187e+10      2.829e-09      2.829e-09      
3.100     257.906   77.015    89.071    114.900   60.445    183.166   0.902     3.187e+10      2.838e-09      2.838e-09      
3.110     258.722   77.277    89.344    115.252   60.639    183.753   0.903     3.187e+10      2.846e-09      2.846e-09      
3.120     259.538   77.539    89.617    115.604   60.832    184.340   0.903     3.187e+10      2.855e-09      2.855e-09      
3.130     260.354   77.800    89.890    115.956   61.026    184.927   0.903     3.187e+10      2.864e-09      2.864e-09      
3.140     261.170   78.062    90.163    116.308   61.220    185.514   0.903     3.187e+10      2.872e-09      2.872e-09      
3.150     261.986   78.323    90.436    116.661   61.413    186.101   0.904     3.187e+10      2.881e-09      2.881e-09      
3.160     262.802   78.585    90.709    117.013   61.607    186.688   0.904     3.187e+10      2.890e-09      2.890e-09      
3.170     263.619   78.847    90.982    117.365   61.801    187.275   0.904     3.187e+10      2.899e-09      2.899e-09      
3.180     264.435   79.108    91.255    117.717   61.995    187.862   0.904     3.187e+10      2.907e-09      2.907e-09      
3.190     265.251   79.370    91.528    118.070   62.188    188.449   0.905     3.187e+10      2.916e-09      2.916e-09      
3.200     266.067   79.632    91.802    118.422   62.382    189.036   0.905     3.187e+10      2.925e-09      2.925e-09      
3.210     266.883   79.893    92.075    118.774   62.576    189.623   0.905     3.187e+10      2.933e-09      2.933e-09      
3.220     267.699   80.155    92.348    119.126   62.769    190.210   0.905     3.187e+10      2.942e-09      2.942e-09      
3.230     268.515   80.416    92.621    119.478   62.963    190.797   0.906     3.187e+10      2.951e-09      2.951e-09      
3.240     269.332   80.678    92.894    119.831   63.157    191.384   0.906     3.187e+10      2.959e-09      2.959e-09      
3.250     270.148   80.940    93.167    120.183   63.351    191.972   0.906     3.187e+10      2.968e-09      2.968e-09      
3.260     270.964   81.201    93.440    120.535   63.544    192.559   0.906     3.187e+10      2.977e-09      2.977e-09      
3.270     271.780   81.463    93.713    120.887   63.738    193.146   0.907     3.187e+10      2.986e-09      2.986e-09      
3.280     272.596   81.725    93.986    121.240   63.932    193.733   0.907     3.187e+10      2.994e-09      2.994e-09      
3.290     273.412   81.986    94.259    121.592   64.125    194.320   0.907     3.187e+10      3.003e-09      3.003e-09      
3.300     274.228   82.248    94.532    121.944   64.319    194.907   0.907     3.187e+10      3.012e-09      3.012e-09      
3.310     275.045   82.510    94.805    122.296   64.513    195.494   0.908     3.187e+10      3.020e-09      3.020e-09      
3.320     275.861   82.771    95.078    122.648   64.707    196.081   0.908     3.187e+10      3.029e-09      3.029e-09      
3.330     276.677   83.033    95.351    123.001   64.900    196.668   0.908     3.187e+10      3.038e-09      3.038e-09      
3.340     277.493   83.294    95.624    123.353   65.094    197.255   0.908     3.187e+10      3.046e-09      3.046e-09      
3.350     278.309   83.556    95.897    123.705   65.288    197.842   0.908     3.187e+10      3.055e-09      3.055e-09      
3.360     279.125   83.818    96.170    124.057   65.482    198.429   0.909     3.187e+10      3.064e-09      3.064e-09      
3.370     279.941   84.079    96.443    124.410   65.675    199.016   0.909     3.187e+10      3.073e-09      3.073e-09      
3.380     280.758   84.341    96.716    124.762   65.869    199.603   0.909     3.187e+10      3.081e-09      3.081e-09      
3.390     281.574   84.603    96.989    125.114   66.063    200.190   0.909     3.187e+10      3.090e-09      3.090e-09      
3.400     282.390   84.864    97.262    125.466   66.256    200.777   0.910     3.187e+10      3.099e-09      3.099e-09      
3.410     283.206   85.126    97.535    125.818   66.450    201.364   0.910     3.187e+10      3.107e-09      3.107e-09      
3.420     284.022   85.388    97.808    126.171   66.644    201.951   0.910     3.187e+10      3.116e-09      3.116e-09      
3.430     284.838   85.649    98.082    126.523   66.838    202.538   0.910     3.187e+10      3.125e-09      3.125e-09      
3.440     285.654   85.911    98.355    126.875   67.031    203.125   0.911     3.187e+10      3.133e-09      3.133e-09      
3.450     286.471   86.172    98.628    127.227   67.225    203.712   0.911     3.187e+10      3.142e-09      3.142e-09      
3.460     287.287   86.434    98.901    127.580   67.419    204.299   0.911     3.187e+10      3.151e-09      3.151e-09      
3.470     288.103   86.696    99.174    127.932   67.612    204.886   0.911     3.187e+10      3.160e-09      3.160e-09      
3.480     288.919   86.957    99.447    128.284   67.806    205.473   0.911     3.187e+10      3.168e-09      3.168e-09      
3.490     289.735   87.219    99.720    128.636   68.000    206.060   0.912     3.187e+10      3.177e-09      3.177e-09      
3.500     290.551   87.481    99.993    128.988   68.194    206.647   0.912     3.187e+10      3.186e-09      3.186e-09      
3.510     291.367   87.742    100.266   129.341   68.387    207.234   0.912     3.187e+10      3.194e-09      3.194e-09      
3.520     292.184   88.004    100.539   129.693   68.581    207.821   0.912     3.187e+10      3.203e-09      3.203e-09      
3.530     293.000   88.265    100.812   130.045   68.775    208.408   0.912     3.187e+10      3.212e-09      3.212e-09      
3.540     293.816   88.527    101.085   130.397   68.969    208.996   0.913     3.187e+10      3.220e-09      3.220e-09      
3.550     294.632   88.789    101.358   130.750   69.162    209.583   0.913     3.187e+10      3.229e-09      3.229e-09      
3.560     295.448   89.050    101.631   131.102   69.356    210.170   0.913     3.187e+10      3.238e-09      3.238e-09      
3.570     296.264   89.312    101.904   131.454   69.550    210.757   0.913     3.187e+10      3.247e-09      3.247e-09      
3.580     297.080   89.574    102.177   131.806   69.743    211.344   0.914     3.187e+10      3.255e-09      3.255e-09      
3.590     297.897   89.835    102.450   132.158   69.937    211.931   0.914     3.187e+10      3.264e-09      3.264e-09      
3.600     298.713   90.097    102.723   132.511   70.131    212.518   0.914     3.187e+10      3.273e-09      3.273e-09      
3.610     299.529   90.359    102.996   132.863   70.325    213.105   0.914     3.187e+10      3.281e-09      3.281e-09      
3.620     300.345   90.620    103.269   133.215   70.518    213.692   0.914     3.187e+10      3.290e-09      3.290e-09      
3.630     301.161   90.882    103.542   133.567   70.712    214.279   0.915     3.187e+10      3.299e-09      3.299e-09      
3.640     301.977   91.143    103.815   133.920   70.906    214.866   0.915     3.187e+10      3.307e-09      3.307e-09      
3.650     302.793   91.405    104.088   134.272   71.099    215.453   0.915     3.187e+10      3.316e-09      3.316e-09      
3.660     303.610   91.667    104.362   134.624   71.293    216.040   0.915     3.187e+10      3.325e-09      3.325e-09      
3.670     304.426   91.928    104.635   134.976   71.487    216.627   0.915     3.187e+10      3.334e-09      3.334e-09      
3.680     305.242   92.190    104.908   135.328   71.681    217.214   0.916     3.187e+10      3.342e-09      3.342e-09      
3.690     306.058   92.452    105.181   135.681   71.874    217.801   0.916     3.187e+10      3.351e-09      3.351e-09      
3.700     306.874   92.713    105.454   136.033   72.068    218.388   0.916     3.187e+10      3.360e-09      3.360e-09      
3.710     307.690   92.975    105.727   136.385   72.262    218.975   0.916     3.187e+10      3.368e-09      3.368e-09      
3.720     308.506   93.236    106.000   136.737   72.455    219.562   0.916     3.187e+10      3.377e-09      3.377e-09      
3.730     309.323   93.498    106.273   137.089   72.649    220.149   0.917     3.187e+10      3.386e-09      3.386e-09      
3.740     310.139   93.760    106.546   137.442   72.843    220.736   0.917     3.187e+10      3.394e-09      3.394e-09      
3.750     310.955   94.021    106.819   137.794   73.037    221.323   0.917     3.187e+10      3.403e-09      3.403e-09      
3.760     311.771   94.283    107.092   138.146   73.230    221.910   0.917     3.187e+10      3.412e-09      3.412e-09      
3.770     312.587   94.545    107.365   138.498   73.424    222.497   0.917     3.187e+10      3.420e-09      3.420e-09      
3.780     313.403   94.806    107.638   138.851   73.618    223.084   0.917     3.187e+10      3.429e-09      3.429e-09      
3.790     314.219   95.068    107.911   139.203   73.812    223.671   0.918     3.187e+10      3.438e-09      3.438e-09      
3.800     315.036   95.330    108.184   139.555   74.005    224.258   0.918     3.187e+10      3.447e-09      3.447e-09      
3.810     315.852   95.591    108.457   139.907   74.199    224.845   0.918     3.187e+10      3.455e-09      3.455e-09      
3.820     316.668   95.853    108.730   140.259   74.393    225.432   0.918     3.187e+10      3.464e-09      3.464e-09      
3.830     317.484   96.114    109.003   140.612   74.586    226.019   0.918     3.187e+10      3.473e-09      3.473e-09      
3.840     318.300   96.376    109.276   140.964   74.780    226.607   0.919     3.187e+10      3.481e-09      3.481e-09      
3.850     319.116   96.638    109.549   141.316   74.974    227.194   0.919     3.187e+10      3.490e-09      3.490e-09      
3.860     319.933   96.899    109.822   141.668   75.168    227.781   0.919     3.187e+10      3.499e-09      3.499e-09      
3.870     320.749   97.161    110.095   142.021   75.361    228.368   0.919     3.187e+10      3.507e-09      3.507e-09      
3.880     321.565   97.423    110.368   142.373   75.555    228.955   0.919     3.187e+10      3.516e-09      3.516e-09      
3.890     322.381   97.684    110.642   142.725   75.749    229.542   0.919     3.187e+10      3.525e-09      3.525e-09      
3.900     323.197   97.946    110.915   143.077   75.942    230.129   0.920     3.187e+10      3.534e-09      3.534e-09      
3.910     324.013   98.208    111.188   143.429   76.136    230.716   0.920     3.187e+10      3.542e-09      3.542e-09      
3.920     324.829   98.469    111.461   143.782   76.330    231.303   0.920     3.187e+10      3.551e-09      3.551e-09      
3.930     325.646   98.731    111.734   144.134   76.524    231.890   0.920     3.187e+10      3.560e-09      3.560e-09      
3.940     326.462   98.992    112.007   144.486   76.717    232.477   0.920     3.187e+10      3.568e-09      3.568e-09      
3.950     327.278   99.254    112.280   144.838   76.911    233.064   0.921     3.187e+10      3.577e-09      3.577e-09      
3.960     328.094   99.516    112.553   145.191   77.105    233.651   0.921     3.187e+10      3.586e-09      3.586e-09      
3.970     328.910   99.777    112.826   145.543   77.299    234.238   0.921     3.187e+10      3.594e-09      3.594e-09      
3.980     329.726   100.039   113.099   145.895   77.492    234.825   0.921     3.187e+10      3.603e-09      3.603e-09      
3.990     330.542   100.301   113.372   146.247   77.686    235.412   0.921     3.187e+10      3.612e-09      3.612e-09      
4.000     331.359   100.562   113.645   146.599   77.880    235.999   0.921     3.187e+10      3.621e-09      3.621e-09      
4.010     332.175   100.824   113.918   146.952   78.073    236.586   0.922     3.187e+10      3.629e-09      3.629e-09      
4.020     332.991   101.085   114.191   147.304   78.267    237.173   0.922     3.187e+10      3.638e-09      3.638e-09      
4.030     333.807   101.347   114.464   147.656   78.461    237.760   0.922     3.187e+10      3.647e-09      3.647e-09      
4.040     334.623   101.609   114.737   148.008   78.655    238.347   0.922     3.187e+10      3.655e-09      3.655e-09      
4.050     335.439   101.870   115.010   148.361   78.848    238.934   0.922     3.187e+10      3.664e-09      3.664e-09      
4.060     336.255   102.132   115.283   148.713   79.042    239.521   0.922     3.187e+10      3.673e-09      3.673e-09      
4.070     337.072   102.394   115.556   149.065   79.236    240.108   0.923     3.187e+10      3.681e-09      3.681e-09      
4.080     337.888   102.655   115.829   149.417   79.429    240.695   0.923     3.187e+10      3.690e-09      3.690e-09      
4.090     338.704   102.917   116.102   149.769   79.623    241.282   0.923     3.187e+10      3.699e-09      3.699e-09      
4.100     339.520   103.179   116.375   150.122   79.817    241.869   0.923     3.187e+10      3.708e-09      3.708e-09      
4.110     340.336   103.440   116.648   150.474   80.011    242.456   0.923     3.187e+10      3.716e-09      3.716e-09      
4.120     341.152   103.702   116.922   150.826   80.204    243.043   0.923     3.187e+10      3.725e-09      3.725e-09      
4.130     341.968   103.963   117.195   151.178   80.398    243.630   0.924     3.187e+10      3.734e-09      3.734e-09      
4.140     342.785   104.225   117.468   151.531   80.592    244.218   0.924     3.187e+10      3.742e-09      3.742e-09      
4.150     343.601   104.487   117.741   151.883   80.786    244.805   0.924     3.187e+10      3.751e-09      3.751e-09      
4.160     344.417   104.748   118.014   152.235   80.979    245.392   0.924     3.187e+10      3.760e-09      3.760e-09      
4.170     345.233   105.010   118.287   152.587   81.173    245.979   0.924     3.187e+10      3.768e-09      3.768e-09      
4.180     346.049   105.272   118.560   152.939   81.367    246.566   0.924     3.187e+10      3.777e-09      3.777e-09      
4.190     346.865   105.533   118.833   153.292   81.560    247.153   0.925     3.187e+10      3.786e-09      3.786e-09      
4.200     347.681   105.795   119.106   153.644   81.754    247.740   0.925     3.187e+10      3.795e-09      3.795e-09      
4.210     348.498   106.056   119.379   153.996   81.948    248.327   0.925     3.187e+10      3.803e-09      3.803e-09      
4.220     349.314   106.318   119.652   154.348   82.142    248.914   0.925     3.187e+10      3.812e-09      3.812e-09      
4.230     350.130   106.580   119.925   154.700   82.335    249.501   0.925     3.187e+10      3.821e-09      3.821e-09      
4.240     350.946   106.841   120.198   155.053   82.529    250.088   0.925     3.187e+10      3.829e-09      3.829e-09      
4.250     351.762   107.103   120.471   155.405   82.723    250.675   0.925     3.187e+10      3.838e-09      3.838e-09      
4.260     352.578   107.365   120.744   155.757   82.916    251.262   0.926     3.187e+10      3.847e-09      3.847e-09      
4.270     353.394   107.626   121.017   156.109   83.110    251.849   0.926     3.187e+10      3.855e-09      3.855e-09      
4.280     354.211   107.888   121.290   156.462   83.304    252.436   0.926     3.187e+10      3.864e-09      3.864e-09      
4.290     355.027   108.150   121.563   156.814   83.498    253.023   0.926     3.187e+10      3.873e-09      3.873e-09      
4.300     355.843   108.411   121.836   157.166   83.691    253.610   0.926     3.187e+10      3.882e-09      3.882e-09      
4.310     356.659   108.673   122.109   157.518   83.885    254.197   0.926     3.187e+10      3.890e-09      3.890e-09      
4.320     357.475   108.934   122.382   157.870   84.079    254.784   0.926     3.187e+10      3.899e-09      3.899e-09      
4.330     358.291   109.196   122.655   158.223   84.272    255.371   0.927     3.187e+10      3.908e-09      3.908e-09      
4.340     359.107   109.458   122.928   158.575   84.466    255.958   0.927     3.187e+10      3.916e-09      3.916e-09      
4.350     359.924   109.719   123.202   158.927   84.660    256.545   0.927     3.187e+10      3.925e-09      3.925e-09      
4.360     360.740   109.981   123.475   159.279   84.854    257.132   0.927     3.187e+10      3.934e-09      3.934e-09      
4.370     361.556   110.243   123.748   159.632   85.047    257.719   0.927     3.187e+10      3.942e-09      3.942e-09      
4.380     362.372   110.504   124.021   159.984   85.241    258.306   0.927     3.187e+10      3.951e-09      3.951e-09      
4.390     363.188   110.766   124.294   160.336   85.435    258.893   0.928     3.187e+10      3.960e-09      3.960e-09      
4.400     364.004   111.028   124.567   160.688   85.629    259.480   0.928     3.187e+10      3.969e-09      3.969e-09      
4.410     364.820   111.289   124.840   161.040   85.822    260.067   0.928     3.187e+10      3.977e-09      3.977e-09      
4.420     365.637   111.551   125.113   161.393   86.016    260.654   0.928     3.187e+10      3.986e-09      3.986e-09      
4.430     366.453   111.812   125.386   161.745   86.210    261.241   0.928     3.187e+10      3.995e-09      3.995e-09      
4.440     367.269   112.074   125.659   162.097   86.403    261.829   0.928     3.187e+10      4.003e-09      4.003e-09      
4.450     368.085   112.336   125.932   162.449   86.597    262.416   0.928     3.187e+10      4.012e-09      4.012e-09      
4.460     368.901   112.597   126.205   162.802   86.791    263.003   0.929     3.187e+10      4.021e-09      4.021e-09      
4.470     369.717   112.859   126.478   163.154   86.985    263.590   0.929     3.187e+10      4.029e-09      4.029e-09      
4.480     370.533   113.121   126.751   163.506   87.178    264.177   0.929     3.187e+10      4.038e-09      4.038e-09      
4.490     371.350   113.382   127.024   163.858   87.372    264.764   0.929     3.187e+10      4.047e-09      4.047e-09      
4.500     372.166   113.644   127.297   164.210   87.566    265.351   0.929     3.187e+10      4.056e-09      4.056e-09      
4.510     372.982   113.905   127.570   164.563   87.759    265.938   0.929     3.187e+10      4.064e-09      4.064e-09      
4.520     373.798   114.167   127.843   164.915   87.953    266.525   0.929     3.187e+10      4.073e-09      4.073e-09      
4.530     374.614   114.429   128.116   165.267   88.147    267.112   0.929     3.187e+10      4.082e-09      4.082e-09      
4.540     375.430   114.690   128.389   165.619   88.341    267.699   0.930     3.187e+10      4.090e-09      4.090e-09      
4.550     376.246   114.952   128.662   165.972   88.534    268.286   0.930     3.187e+10      4.099e-09      4.099e-09      
4.560     377.063   115.214   128.935   166.324   88.728    268.873   0.930     3.187e+10      4.108e-09      4.108e-09      
4.570     377.879   115.475   129.208   166.676   88.922    269.460   0.930     3.187e+10      4.116e-09      4.116e-09      
4.580     378.695   115.737   129.482   167.028   89.116    270.047   0.930     3.187e+10      4.125e-09      4.125e-09      
4.590     379.511   115.999   129.755   167.380   89.309    270.634   0.930     3.187e+10      4.134e-09      4.134e-09      
4.600     380.327   116.260   130.028   167.733   89.503    271.221   0.930     3.187e+10      4.142e-09      4.142e-09      
4.610     381.143   116.522   130.301   168.085   89.697    271.808   0.931     3.187e+10      4.151e-09      4.151e-09      
4.620     381.959   116.783   130.574   168.437   89.890    272.395   0.931     3.187e+10      4.160e-09      4.160e-09      
4.630     382.776   117.045   130.847   168.789   90.084    272.982   0.931     3.187e+10      4.169e-09      4.169e-09      
4.640     383.592   117.307   131.120   169.142   90.278    273.569   0.931     3.187e+10      4.177e-09      4.177e-09      
