Program for reverse faulting, modified from general4.f and layer5rev_distrib.f (https://github.com/aochihi/DepthStress)
Reference: Aochi (2018), Aochi & Tsuda (2023)
UPDATE 2024/03/12 by Mike (H. SU)
++++++++++++++++++++++++++++++++++++++++++++
INPUT parameters
static friction coef.  [mu_s]:   0.60
dynamic friction coef.  [mu_d]:   0.33
optimal fault orientation [phi]:  29.52
dip angle [dip]:  50.00
cohesion [cohesion]:   5.00
fault relative prestress [R_assume]:   1.00
++++++++++++++++++++++++++++++++++++++++++++
Depth[km] S1[MPa]   S3[MPa]   t0[MPa]   tp[MPa]   tr[MPa]   n0[MPa]   S         G              strain_c       strain         
0.530     26.407    12.515    6.841     17.400    6.820     20.667    516.572   1.009e+10      6.887e-10      2.190e-09      
0.540     26.643    12.751    6.841     17.542    6.898     20.903    -186.174  1.009e+10      6.887e-10      2.215e-09      
0.550     26.879    12.987    6.841     17.684    6.976     21.139    -80.080   1.009e+10      6.887e-10      2.240e-09      
0.560     27.115    13.223    6.841     17.825    7.054     21.375    -51.493   1.009e+10      6.887e-10      2.265e-09      
0.570     27.351    13.459    6.841     17.967    7.132     21.611    -38.203   1.009e+10      6.887e-10      2.290e-09      
0.580     27.587    13.695    6.841     18.109    7.210     21.848    -30.523   1.009e+10      6.887e-10      2.315e-09      
0.590     27.824    13.931    6.841     18.250    7.288     22.084    -25.520   1.009e+10      6.887e-10      2.339e-09      
0.600     28.060    14.168    6.841     18.392    7.366     22.320    -22.002   1.009e+10      6.887e-10      2.364e-09      
0.610     28.296    14.404    6.841     18.534    7.443     22.556    -19.394   1.009e+10      6.887e-10      2.389e-09      
0.620     28.532    14.640    6.841     18.675    7.521     22.792    -17.382   1.009e+10      6.887e-10      2.414e-09      
0.630     64.066    14.876    24.222    31.245    14.435    43.742    0.718     3.571e+10      6.887e-10      6.887e-10      
0.640     64.889    15.140    24.497    31.600    14.630    44.334    0.720     3.571e+10      6.965e-10      6.965e-10      
0.650     65.712    15.403    24.772    31.955    14.825    44.925    0.722     3.571e+10      7.043e-10      7.043e-10      
0.660     66.534    15.667    25.047    32.310    15.021    45.517    0.724     3.571e+10      7.122e-10      7.122e-10      
0.670     67.357    15.931    25.322    32.665    15.216    46.109    0.727     3.571e+10      7.200e-10      7.200e-10      
0.680     68.179    16.194    25.598    33.020    15.411    46.700    0.729     3.571e+10      7.278e-10      7.278e-10      
0.690     69.002    16.458    25.873    33.375    15.606    47.292    0.731     3.571e+10      7.356e-10      7.356e-10      
0.700     69.824    16.722    26.148    33.730    15.802    47.884    0.733     3.571e+10      7.435e-10      7.435e-10      
0.710     70.647    16.986    26.423    34.085    15.997    48.475    0.735     3.571e+10      7.513e-10      7.513e-10      
0.720     71.470    17.249    26.698    34.440    16.192    49.067    0.737     3.571e+10      7.591e-10      7.591e-10      
0.730     72.292    17.513    26.974    34.795    16.387    49.659    0.739     3.571e+10      7.669e-10      7.669e-10      
0.740     73.115    17.777    27.249    35.150    16.583    50.250    0.741     3.571e+10      7.748e-10      7.748e-10      
0.750     73.937    18.040    27.524    35.505    16.778    50.842    0.743     3.571e+10      7.826e-10      7.826e-10      
0.760     74.760    18.304    27.799    35.860    16.973    51.434    0.745     3.571e+10      7.904e-10      7.904e-10      
0.770     75.582    18.568    28.074    36.215    17.168    52.025    0.746     3.571e+10      7.982e-10      7.982e-10      
0.780     76.405    18.831    28.349    36.570    17.364    52.617    0.748     3.571e+10      8.061e-10      8.061e-10      
0.790     77.228    19.095    28.625    36.925    17.559    53.209    0.750     3.571e+10      8.139e-10      8.139e-10      
0.800     78.050    19.359    28.900    37.280    17.754    53.800    0.752     3.571e+10      8.217e-10      8.217e-10      
0.810     78.873    19.622    29.175    37.635    17.949    54.392    0.754     3.571e+10      8.295e-10      8.295e-10      
0.820     79.695    19.886    29.450    37.990    18.145    54.984    0.755     3.571e+10      8.374e-10      8.374e-10      
0.830     80.518    20.150    29.725    38.345    18.340    55.575    0.757     3.571e+10      8.452e-10      8.452e-10      
0.840     81.340    20.414    30.001    38.700    18.535    56.167    0.759     3.571e+10      8.530e-10      8.530e-10      
0.850     82.163    20.677    30.276    39.055    18.730    56.759    0.760     3.571e+10      8.608e-10      8.608e-10      
0.860     82.986    20.941    30.551    39.410    18.926    57.350    0.762     3.571e+10      8.687e-10      8.687e-10      
0.870     83.808    21.205    30.826    39.765    19.121    57.942    0.764     3.571e+10      8.765e-10      8.765e-10      
0.880     84.631    21.468    31.101    40.120    19.316    58.534    0.765     3.571e+10      8.843e-10      8.843e-10      
0.890     85.453    21.732    31.377    40.475    19.511    59.125    0.767     3.571e+10      8.921e-10      8.921e-10      
0.900     86.276    21.996    31.652    40.830    19.707    59.717    0.768     3.571e+10      9.000e-10      9.000e-10      
0.910     87.098    22.259    31.927    41.185    19.902    60.309    0.770     3.571e+10      9.078e-10      9.078e-10      
0.920     87.921    22.523    32.202    41.540    20.097    60.900    0.771     3.571e+10      9.156e-10      9.156e-10      
0.930     88.744    22.787    32.477    41.895    20.292    61.492    0.773     3.571e+10      9.234e-10      9.234e-10      
0.940     89.566    23.050    32.753    42.250    20.488    62.083    0.774     3.571e+10      9.313e-10      9.313e-10      
0.950     90.389    23.314    33.028    42.605    20.683    62.675    0.776     3.571e+10      9.391e-10      9.391e-10      
0.960     91.211    23.578    33.303    42.960    20.878    63.267    0.777     3.571e+10      9.469e-10      9.469e-10      
0.970     92.034    23.842    33.578    43.315    21.073    63.858    0.779     3.571e+10      9.547e-10      9.547e-10      
0.980     92.856    24.105    33.853    43.670    21.269    64.450    0.780     3.571e+10      9.626e-10      9.626e-10      
0.990     93.679    24.369    34.129    44.025    21.464    65.042    0.781     3.571e+10      9.704e-10      9.704e-10      
1.000     94.502    24.633    34.404    44.380    21.659    65.633    0.783     3.571e+10      9.782e-10      9.782e-10      
1.010     95.324    24.896    34.679    44.735    21.854    66.225    0.784     3.571e+10      9.860e-10      9.860e-10      
1.020     96.147    25.160    34.954    45.090    22.050    66.817    0.785     3.571e+10      9.939e-10      9.939e-10      
1.030     96.969    25.424    35.229    45.445    22.245    67.408    0.787     3.571e+10      1.002e-09      1.002e-09      
1.040     97.792    25.687    35.505    45.800    22.440    68.000    0.788     3.571e+10      1.010e-09      1.010e-09      
1.050     98.614    25.951    35.780    46.155    22.635    68.592    0.789     3.571e+10      1.017e-09      1.017e-09      
1.060     99.437    26.215    36.055    46.510    22.831    69.183    0.791     3.571e+10      1.025e-09      1.025e-09      
1.070     100.260   26.478    36.330    46.865    23.026    69.775    0.792     3.571e+10      1.033e-09      1.033e-09      
1.080     101.082   26.742    36.605    47.220    23.221    70.367    0.793     3.571e+10      1.041e-09      1.041e-09      
1.090     101.905   27.006    36.880    47.575    23.416    70.958    0.794     3.571e+10      1.049e-09      1.049e-09      
1.100     102.727   27.270    37.156    47.930    23.611    71.550    0.795     3.571e+10      1.056e-09      1.056e-09      
1.110     103.550   27.533    37.431    48.285    23.807    72.142    0.797     3.571e+10      1.064e-09      1.064e-09      
1.120     104.372   27.797    37.706    48.640    24.002    72.733    0.798     3.571e+10      1.072e-09      1.072e-09      
1.130     105.195   28.061    37.981    48.995    24.197    73.325    0.799     3.571e+10      1.080e-09      1.080e-09      
1.140     106.018   28.324    38.256    49.350    24.392    73.917    0.800     3.571e+10      1.088e-09      1.088e-09      
1.150     106.840   28.588    38.532    49.705    24.588    74.508    0.801     3.571e+10      1.096e-09      1.096e-09      
1.160     107.663   28.852    38.807    50.060    24.783    75.100    0.802     3.571e+10      1.103e-09      1.103e-09      
1.170     108.485   29.115    39.082    50.415    24.978    75.692    0.804     3.571e+10      1.111e-09      1.111e-09      
1.180     109.308   29.379    39.357    50.770    25.173    76.283    0.805     3.571e+10      1.119e-09      1.119e-09      
1.190     110.130   29.643    39.632    51.125    25.369    76.875    0.806     3.571e+10      1.127e-09      1.127e-09      
