Report for parameter search
Update 18 Mar 2024
**************GLOBAL*******************
dip == 58; h2o_p =0; R = 1; s2ratio= 0.5;
vs = [2047, 3645, 1200, 2291, 2314, 3457, 3616];
rho = [2407, 2688, 2165, 2465, 2470, 2667, 2685];
dep = [0.0, 0.63, 1.2, 1.42, 2.03, 2.19, 5.96];
***************VARYING******************
mu_s, mu_d, coh., avg. static deltaS(0-1km), avg. dynamic deltaS(0-1km), avg. S(0-1km)
     0.300,      0.150,      5.000,      3.463,      8.437,      4.370,
     0.400,      0.150,      5.000,      4.981,     11.528,      2.720,
     0.500,      0.150,      5.000,      6.721,     15.422,      2.245,
     0.600,      0.150,      5.000,      8.695,     20.270,      2.051,
     0.300,      0.250,      5.000,      1.171,      6.146,     -4.509,
     0.400,      0.250,      5.000,      2.370,      8.917,     -2.991,
     0.500,      0.250,      5.000,      3.744,     12.444,    -17.651,
     0.600,      0.250,      5.000,      5.302,     16.876,      8.726,
     0.300,      0.350,      5.000,     -1.120,      3.854,     -0.359,
     0.400,      0.350,      5.000,     -0.241,      6.306,      1.320,
     0.500,      0.350,      5.000,      0.766,      9.466,      4.407,
     0.600,      0.350,      5.000,      1.909,     13.483,      4.373,
     0.300,      0.450,      5.000,     -3.412,      1.563,     -1.388,
     0.400,      0.450,      5.000,     -2.852,      3.694,     -3.852,
     0.500,      0.450,      5.000,     -2.212,      6.489,     -2.566,
     0.600,      0.450,      5.000,     -1.485,     10.090,     -5.932,
